Created at,Id,Nom,Description,Stock,Poids,Catégorie,Prix en cents d'€,Nb de ventes - ca
2018-03-04 12:13:27 UTC,57,Contrée lointaine ,"BOITE 

Pièce façonnée au tour.
Faïence émaillée  d'un blanc mat légèrement satiné , rendu porcelaine..
Calligraphie libre effectuée au pinceau.
Le trait ne subit aucune modification à la cuisson , il est tel que je l'ai peint.


PIÈCE UNIQUE


Diamètre 14,7 cm     Hauteur  28,2 cm



Laissez -vous entraîner dans cette contrée  lointaine , basculez dans une dimension parallèle , un monde intime et onirique s'ouvre à vous.....",0,3200,PIÈCE  D'EXCEPTION,48000,"1 - 480,00 €"
2018-03-02 18:16:27 UTC,56,Rencontre,"GRAND BOL


 Faïence émaillée d'un blanc mat légèrement satiné.
 Calligraphie  réalisée au pinceau.
 Le trait peut avoir un peu de relief en surface.
 Céramique utilitaire.
 Pas de micro-onde.

 
 PIÈCE UNIQUE



 Diamètre 10,2 cm    Hauteur 8,5 cm",1,700,Grand bol,5000,"0 - 0,00 €"
2018-03-02 17:34:52 UTC,55,"Danse, danse, danse","GRAND BOL , série ""gris""

 Faïence émaillée d'un blanc mat , légèrement satiné.
 Calligraphie réalisée au pinceau .
 Pièce très douce au toucher.
 Céramique utilitaire .
 Pas de micro-onde.

 
 PIÈCE UNIQUE


 Diamètre 11,5 cm   Hauteur 7,8 cm",0,680,"Grand bol , série ""gris""",6900,"1 - 69,00 €"
2018-03-02 17:23:10 UTC,54,Nymphe,"GRAND BOL , série ""gris""

 
  Faïence émaillée d'un blanc mat,légèrement satiné.
  Calligraphie  réalisée au pinceau.
  Les gris sont mat et les noirs tendent vers le brillant.
  Pièce très douce au toucher.
  Céramique utilitaire.
  Pas de micro-onde.


  PIÈCE  UNIQUE



 Diamètre 11,5 cm      Hauteur 7,5 cm",0,650,"Grand bol , série ""gris""",6900,"0 - 0,00 €"
2018-03-02 16:33:11 UTC,52,Illusion,"Salière

 Faïence  émaillée d'un blanc mat légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie réalisée au pinceau.
 Céramique utilitaire.
 
 PIÈCE UNIQUE

 Diamètre 7,5 cm     Hauteur 5,5 cm  (taille moyenne)

 Pour la remplir:
 versez le sel dans la forme entonnoir,
 secouez légèrement pour le faire entrer.
 Pour l'utiliser: 
 Retournez la salière secouez de bas en haut pour saler .

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

 Effet garanti auprès de vos amis avec cet objet mystérieux qui agrémente joliment votre table !",1,500,Salière,2500,"0 - 0,00 €"
2018-03-02 16:28:58 UTC,51,Illusion 1,"Salière

 Faïence  émaillée d'un blanc mat ,légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie réalisée au pinceau.
 Céramique utilitaire.

 PIÈCE UNIQUE

 Diamètre 7 cm Hauteur 5,5cm ( petit format)

 Pour la remplir:
 versez le sel dans la forme entonnoir,
 secouez légèrement pour le faire entrer
 Pour l'utiliser: 
 Retournez la salière secouez de bas en haut pour saler! 

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

 Effet garanti auprès de vos amis avec cet objet mystérieux qui agrémente joliment votre table !",0,500,Salière,2500,"0 - 0,00 €"
2018-03-02 16:25:25 UTC,50,Illusion 2,"Salière

 Faïence émaillée d'un blanc mat , légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie réalisée au pinceau.
 Céramique utilitaire.

 PIÈCE  UNIQUE

 Diamètre 7cm   Hauteur 5,5cm ( petit format)

 Pour la remplir:
 versez le sel dans la forme entonnoir, 
 secouez légèrement pour le faire entrer 
 Pour l'utiliser:
 Retournez la salière secouez de bas en haut pour saler!

SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

 Effet garanti auprès de vos amis avec cet objet mystérieux qui agrémente joliment votre table !",1,500,Salière,2500,"0 - 0,00 €"
2018-03-02 16:18:54 UTC,49,Illusion 3,"Salière

 Faïence  émaillée d'un blanc mat , légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie réalisée au pinceau 
 Céramique utilitaire.

 PIÈCE UNIQUE.

 Diamètre 8 cm    Hauteur 5,8 cm ( grand format)

 Pour la remplir:
 versez le sel dans la forme entonnoir, 
 secouez légèrement pour le faire entrer
 Pour l'utiliser:
 Retournez la salière secouez de bas en haut pour saler!

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu. 

 Effet garanti  auprès de vos amis avec cet objet mystérieux qui agrémente jjoliment votre table !",1,500,Salière,2500,"0 - 0,00 €"
2018-03-02 16:12:39 UTC,48,Illusion 4,"Salière

 Faïence émaillée d'un blanc  mat , légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie réalisée au pinceau.
 Céramique utilitaire.

 PIÈCE UNIQUE.

 Diamètre 7,5 cm   Hauteur 5,5cm ( taille moyenne)

 Pour la remplir:
 versez le sel dans la forme entonnoir,
 secouez légèrement pour le faire entrer
 Pour l'utiliser:
 Retournez la salière secouez de bas en haut pour saler!

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

 Effet garanti auprès de vos amis avec cet objet mystérieux qui agrémente joliment votre table !",0,500,Salière,2500,"1 - 25,00 €"
2018-03-02 14:59:29 UTC,47,Illusion 5,"Salière

 Faïence émaillée d'un blanc mat.
 Forme ronde tournée artisanalement.
 Calligraphie réalisée au pinceau.
 Céramique utilitaire.

 PIÈCE UNIQUE.
 
 Diamètre 7 cm   Hauteur 5,5 cm ( petit format)

 Pour la remplir:
 versez le sel dans la forme entonnoir, 
 secouez légèrement pour le faire entrer
 Pour l'utiliser:
 Retournez la salière secouez de bas en haut pour saler!

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

  Effet garanti  auprès de vos amis avec cet objet mystérieux qui agrémente joliment votre table !",0,500,Salière,2500,"0 - 0,00 €"
2018-03-02 14:55:36 UTC,46,Illusion 6,"Salière

 Faïence  émaillée d'un blanc mat ,légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie libre réalisée au pinceau.
 Céramique utilitaire.

 PIÈCE UNIQUE

 Diamètre 7,5 cm      Hauteur 5,2 cm ( taille moyenne) 

 Pour la remplir: 
 versez le sel dans la forme entonnoir,
 secouez légèrement pour le faire entrer .
 Pour l'utiliser:
 Retournez la salière secouez de bas en haut pour saler .

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

  Effet garantie auprès de vos amis avec cet objet mystérieux qui agrémente joliment votre table !",0,500,Salière,2500,"0 - 0,00 €"
2018-03-02 14:47:51 UTC,45,Illusion 7,"Salière
 
 Forme ronde tournée totalement émaillée.
 Faïence calligraphiée sur émail mat. 
 Céramique utilitaire.
 Pièce unique.

 Diamètre 7 Hauteur 5,2 (petit format)

 Pour la remplir:
 versez le sel dans la forme entonnoir, 
 secouez légèrement pour le faire entrer

 Pour l'utiliser:
 Retournez la salière secouez de bas en haut pour saler!
 
 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

  Effet garantie auprès de vos amis avec ces objets mystérieux qui agrémentent joliment votre table !",0,500,Salière,2500,"0 - 0,00 €"
2018-03-02 14:41:42 UTC,44,Illusion 8,"Salière

 Faïence  émaillée d'un blanc  mat légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie libre réalisée au pinceau.
 Céramique utilitaire.

 PIÈCE UNIQUE

 Diamètre 7 cm      Hauteur 5,2 cm (petit format) 

 Pour la remplir,
 versez le sel dans la forme entonnoir,
 secouez légèrement pour le faire entrer
  Pour l'utiliser:
 Retournez la salière secouez de bas en haut pour saler!

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.   

 Effet garantie auprès de vos amis avec cet  objet mystérieux qui agrémente joliment votre table !",1,500,Salière,2500,"0 - 0,00 €"
2018-03-02 14:36:17 UTC,43,Illusion 9,"Salière

 Faïence émaillée d'un blanc mat , légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie réalisée au pinceau.
 Céramique utilitaire.

 PIECE UNIQUE

 Diamètre 7 cm     Hauteur 5 cm   (petit format)

 Pour la remplir,
 versez le sel dans la forme entonnoir,
 secouez légèrement pour le faire entrer . 
 Pour l'utiliser:
 Retournez la salière secouez de bas en haut pour saler!

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

 Effet garantie auprès de vos amis avec cet objet mystérieux qui agrémente  joliment votre table !",0,500,Salière,2500,"0 - 0,00 €"
2018-03-02 14:19:37 UTC,42,Illusion 10,"Salière

 Faïence émaillée d'un blanc mat , légèrement satiné.
 Forme ronde tournée artisanalement.
 Calligraphie réalisée au pinceau.
 Céramique utilitaire.

 PIÈCE UNIQUE

  Diamètre 7 cm   Hauteur 6,5 cm  (petit format)

  Pour la remplir, 
  versez le sel dans la forme entonnoir,
  secouez légèrement pour le faire entrer
. Pour l'utiliser:
  Retournez la salière secouez de bas en haut pour saler!

 SALIÈRE ou POIVRIER au choix à condition d'utiliser du poivre moulu.

 Effet garantie auprès de vos amis avec cet objet mystérieux qui agrémente joliment votre table !",1,500,Salière,2500,"0 - 0,00 €"
